Reference,Value,Manufacturer,Part No.,Quantity
C1 C4 C5 C8,100n,Vishay,K104K15X7RF5TH5,4
C6 C7,100p,Vishay,K101J15C0GF5TH5,2
C2 C3,2.2u,Nichicon,UPS1V22 MDD,2
J3 J4,Conn_01x01_Male,Harwin,M20-9770242,1
J5 J6,Conn_02x05_Odd_Even,Harwin,M20-9760542,2
R1,12k,Yageo,MFR-25FRF52-12K,2
R3 R4,1k,Yageo,MFR-25FRF52-1K,2
R2 R5 R6,24k,Yageo,MFR-25FRF52-24K,2
R7 R12,10M,Yageo,HHV-25FR-52-10M,2
R8 R13,20k,Yageo,MFR-25FRF52-20K,2
R9 R14,1.3M,Yageo,MFR-25FRF52-1M3,2
R10 R15,12k,Yageo,MFR-25FRF52-12K,2
R11 R16,750k,Yageo,MFR-25FRF52-750K,2
RV1 RV2 RV3 RV4 RV5 RV6,100k,TT Electronics,67YR100K,6
U1,LF412,Texas Instruments,LF412CP,1
U2 U3,LM385BXZ-2.5,Texas Instruments,LM385BXZ-2.5/NOPB,2
,,,,
J1 J2,3.5mm Jack,Qing Pu,WQP518MA,2
SW1 SW2,DPDT,Taiway/Various,Sub-Miniature DPDT ON-ON-ON Toggle,2
